Aaron, Hank
Abagnale, Frank
Abbey, Edward
Abel, Reuben
Abelson, Hal
Abourezk, James
Abrams, Creighton
Ace, Jane
Acton, John
Adams, Abigail
Adams, Douglas
Adams, Henry
Adams, John
Adams, John Quincy
Adams, Samuel
Adams, Scott
Addams, Jane
Addison, Joseph
Adorno, Theodor
Adler, Alfred
Aeschylus
Aesop
Affleck, Ben
Agena, Keiko
Agnew, Spiro
Ahbez, Eden
Ahern, Bertie
Ah Koy, James
Ahmad
Aiken, Clay
Aiken, Conrad
Akinola, Peter Jasper
Alba, Jessica
Alberti, Leone Battista
Albom, Mitch
Alcott, Louisa May
Alcuin
Aldiss, Brian
Alexander the Great
Alexie, Sherman
Al-Hallaj
al-Sadr, Muqtada
al-Sahaf, Muhammed Saeed
Alfven, Hannes
Ali ibn Abi Talib
Aldrin, Buzz
Ali, Muhammad
Ali, Tariq
Allee, W. C.
Allen, Agnes
Allen, Fred
Allen, James
Allen, Steve
Allen, Woody
Allais, Alphonse
Allston, Aaron
Amaro, Rolim
Amiel, Barbara
Amis, Martin
Amos, Tori
Andersen, Hans Christian
Anderson, Beth
Anderson, Sparky
Andrians, Aiven
Andric, Ivo
Angell, Norman
Angelou, Maya
Anne, Princess Royal of the United Kingdom
Anthony, Piers
Anthony, Susan B.
Antoniou, Laura
Antunes, Antonio Lobo
Apple, Fiona
Aquinas, Thomas
Arafat, Yasser
Araya, Tom
Arbuthnot, John
Archimedes
Aristotle
Armstrong, Edwin
Armstrong, Louis
Armstrong, Neil
Arp, Hans
Arslan, Alp
Ascham, Roger
Ashe, Arthur
Ashlag, Baruch
Ashlag, Yehuda
Asimov, Isaac
Attali, Jacques
Ataturk, Mustafa Kemal
Atwood, Margaret
Auden, Wystan Hugh
Audette, Derek R.
Augustine of Hippo
Augustine, Norman Ralph
Austen, Jane
Austin, Alfred
Austin, J. L.
Austin, Stone Cold Steve
Baba, Meher
Baba, Tupeni
Babbage, Charles
Babbitt, Milton
Bacevich, Andrew
Bach, Richard
Bachelard, Gaston
Bachelot, Roselyne
Bacon, Francis
Baddiel, David
Baden-Powell, Sir Robert (B-P)
Badiou, Alain
Badnarik, Michael
Baez, Joan
Bagehot, Walter
Baha'u'llah
Bailey, Philip James
Baillie, Bruce
Bainimarama, Frank
Baker, Jack
Baker, Russell
Bakhtiari, Marjaney
Bakunin, Mikhail
Ball, Hugo
Ballmer, Steve
Balzac, Honore de
Bancroft, Anne
Bangs, Lester
Banhart, Devendra
Banks,Ernie
Banks, Robert
Banks, Tony (Lord Stratford)
Barbauld, Anna Letitia
Barclay, William
Barker, Clive
Barkley, Charles
Barlow, John Perry
Barnes, Jack
Barnes, Julian
Barrie, J. M.
Barry, Dave
Barry, Marion
Bartholin, Thomas V.
Baruch, Bernard
Barwich, Heinz
Bastiat, Frederic
Batch, Charlie
Bathgate, Andy
Baudelaire, Charles
Baum, L. Frank
Bavadra, Timoci
Bayly, Thomas Haynes
Bazin, Andre
Bean, Roy
Beard, Charles A.
Beaumont and Fletcher
Beck, Glenn
Becker, Carl
Beckett, Samuel
Beddoes, Mick
Beecher, Henry Ward
Beethoven, Ludwig van
Begin, Menachem
Bell, Alexander Graham
Belloc, Hilaire
Bellow, Saul
Benchley, Robert
Benedict XVI (Pope)
Benenson, Peter
Ben-Gurion, David
Benjamin, Walter
Benn, Tony
Bennett, William Andrew Cicil
Bennington, Chester
Benson, Leana
Bent, Silas
Bentsen, Lloyd
Berard, Edward V.
Berger, Ric
Bergman, George E.
Bergman, Ingmar
Berio, Luciano
Bergerac, Cyrano de
Berle, Milton
Berlin, Irving
Berne, Eric
Bernhard, Sandra
Berra, Yogi
Berry, Halle
Berry, Wendell
Bethea, Erin
Bevan, Aneurin
Bevel, Ken
Bibesco, Princess Elizabeth
Biden, Joseph
Bierce, Ambrose
Biko, Steve
Billings, Josh
Biondo, Frank
